4236;CRAWL;2022-05-25T00:01:18;250;3;Bronze til os wooooo;Valby Mesterskab;
4236;CRAWL;2012-12-12T00:01:10;100;2;Flot;Valby Mesterskab;
4236;CRAWL;2012-12-12T00:01:10;100;2;Flot;DM;
4558;CRAWL;2022-05-25T00:01:02;250;6;OK;Valby Mesterskab;
4558;CRAWL;2012-12-12T00:01:42;100;7;Flot;Valby Mesterskab;
4558;CRAWL;2012-12-12T00:01:37;100;5;Flot;DM;
1862;CRAWL;2022-05-25T00:01:15;250;3;OK;Valby Mesterskab;
1862;CRAWL;2012-12-12T00:01:22;100;5;Flot;Valby Mesterskab;
1862;CRAWL;2012-12-12T00:01:25;100;5;Flot;DM;
6387;CRAWL;2022-05-25T00:01:15;250;3;OK;Valby Mesterskab;
6387;CRAWL;2012-12-12T00:01:22;100;5;Flot;Valby Mesterskab;
6387;CRAWL;2012-12-12T00:01:25;100;5;Flot;DM;
4753;CRAWL;2022-05-25T00:01:15;250;3;OK;Valby Mesterskab;
4753;CRAWL;2012-12-12T00:01:22;100;5;Flot;Valby Mesterskab;
4753;CRAWL;2012-12-12T00:01:25;100;5;Flot;DM;
5292;CRAWL;2022-05-25T00:01:15;250;3;OK;Valby Mesterskab;
5292;CRAWL;2012-12-12T00:01:22;100;5;Flot;Valby Mesterskab;
5292;CRAWL;2012-12-12T00:01:25;100;5;Flot;DM;
4236;BUTTERFLY;2022-05-25T00:01:05;250;3;Bronze til os wooooo;Butterfly VM;
4236;BUTTERFLY;2012-12-12T00:01:10;100;2;Flot;Valby Mesterskab;
4236;BUTTERFLY;2012-12-12T00:01:10;100;2;Flot;DM;
4558;BUTTERFLY;2022-05-25T00:01:02;250;6;OK;Valby Mesterskab;
4558;BUTTERFLY;2012-12-12T00:01:06;100;7;Flot;Valby Mesterskab;
4558;BUTTERFLY;2012-12-12T00:01:37;100;5;Flot;DM;
1862;BUTTERFLY;2022-05-25T00:01:03;250;3;OK;Valby Mesterskab;
